,/gpu-intel/0xA7A1/power/0
Time,GPU Package
11:31:49,4.76504374
11:31:50,4.86969757
11:31:51,4.676348
11:31:52,4.665141
11:31:53,4.704987
11:31:54,4.73638058
11:31:55,4.757607
11:31:56,4.86976242
11:31:57,4.77599859
11:31:58,4.75703144
11:31:59,4.675575
11:32:00,4.74585342
11:32:01,4.85857248
11:32:02,6.800088
11:32:03,4.73095846
11:32:04,5.11111
11:32:05,4.88696957
11:32:06,4.76294374
11:32:07,4.896122
11:32:08,4.142749
11:32:09,4.77043724
11:32:10,4.77111149
11:32:11,4.8312583
11:32:12,4.432975
11:32:13,4.86744976
11:32:14,5.113941
11:32:15,4.848902
11:32:16,4.80452967
11:32:17,4.84636259
11:32:18,4.913357
11:32:19,5.227123
11:32:20,4.770967
11:32:21,4.929744
11:32:22,4.792357
11:32:23,4.745888
11:32:24,4.817341
11:32:25,4.57359
11:32:26,4.68381834
11:32:27,4.83959
11:32:28,4.913181
11:32:29,4.738878
11:32:30,5.22107458
11:32:31,5.048062
11:32:32,4.86830235
11:32:33,5.300548
11:32:34,5.06507874
11:32:35,5.06891537
11:32:36,4.787096
11:32:37,4.828282
11:32:38,4.773999
11:32:39,4.908787
11:32:40,4.73480558
11:32:41,4.80218363
11:32:42,4.3150506
11:32:43,4.37626028
11:32:44,4.814447
11:32:45,4.991421
11:32:46,5.01122761
11:32:47,5.09591675
11:32:48,5.25914431
11:32:49,5.61353636
11:32:50,5.207479
11:32:51,5.55557251
11:32:52,5.00451946
11:32:53,4.8802824
11:32:54,5.0436883
11:32:55,4.99824572
11:32:56,4.99280834
11:32:57,4.82170057
11:32:58,4.832302
11:32:59,4.90762568
11:33:00,4.98997355
11:33:01,4.695493
11:33:02,4.81029844
11:33:03,4.908065
11:33:04,4.97729635
11:33:05,4.876717
11:33:06,4.82165337
11:33:07,4.732075
11:33:08,5.101878
11:33:09,4.86372375
11:33:10,4.858222
11:33:11,4.98793459
11:33:12,4.59385
11:33:13,4.36074162
11:33:14,4.50593138
11:33:15,4.6019907
11:33:16,4.593732
11:33:17,4.845721
11:33:18,4.65819931
11:33:19,4.73169947
11:33:20,4.3459754
11:33:21,4.560979
11:33:22,4.49035358
11:33:23,4.631702
11:33:24,4.47518635
11:33:25,4.55721474
11:33:26,4.63145351
11:33:27,4.63438272
11:33:28,4.40779972
11:33:29,4.576086
11:33:30,4.576162
11:33:31,4.49780273
11:33:32,4.75711155
11:33:33,5.011345
11:33:34,4.632827
11:33:35,4.557645
11:33:36,4.574947
11:33:37,4.42041159
11:33:38,4.494948
11:33:39,4.460488
11:33:40,4.648318
11:33:41,4.450036
11:33:42,4.56187868
11:33:43,4.488326
11:33:44,4.894415
11:33:45,4.60355663
11:33:46,4.62362146
11:33:47,4.719826
11:33:48,4.73234272
11:33:49,4.937539
11:33:50,4.68664837
11:33:51,4.86356974
11:33:52,4.75547028
11:33:53,5.15022373
11:33:54,5.20927858
11:33:55,4.70828152
11:33:56,4.857983
11:33:57,4.805195
11:33:58,4.366596
11:33:59,4.44842958
11:34:00,6.8428936
11:34:01,8.332059
11:34:02,4.51421547
11:34:03,4.78365755
11:34:04,4.87786627
11:34:05,4.731759
11:34:06,4.662998
11:34:07,4.80642
11:34:08,4.644622
11:34:09,4.69833565
11:34:10,4.795631
11:34:11,4.70993948
11:34:12,4.505925
11:34:13,4.490316
11:34:14,4.851311
11:34:15,4.74534941
11:34:16,4.623853
11:34:17,4.67483568
11:34:18,4.54868
11:34:19,4.89805651
11:34:20,4.73599863
11:34:21,4.46224451
11:34:22,4.988581
11:34:23,4.84387064
11:34:24,4.82406855
11:34:25,4.78759766
11:34:26,4.54244947
11:34:27,4.803025
11:34:28,4.735388
11:34:29,4.854251
11:34:30,4.67363
11:34:31,4.584504
11:34:32,4.87174749
11:34:33,5.242946
11:34:34,4.88809633
11:34:35,4.85752344
11:34:36,4.81042671
11:34:37,4.81962156
11:34:38,4.76076841
11:34:39,5.21211767
11:34:40,6.32493
11:34:41,5.354342
11:34:42,4.800545
11:34:43,4.773455
11:34:44,5.215333
11:34:45,4.92959452
11:34:46,4.776035
11:34:47,4.72023773
11:34:48,4.697619
11:34:49,4.89125872
11:34:50,5.024175
11:34:51,4.76048851
11:34:52,4.79743528
11:34:53,4.67596
11:34:54,6.735886
11:34:55,5.1776104
11:34:56,4.68155575
11:34:57,4.895169
11:34:58,4.8265295
11:34:59,4.873422
11:35:00,5.0135746
11:35:01,4.847285
11:35:02,4.749812
11:35:03,5.18218851
11:35:04,4.789863
11:35:05,4.957219
11:35:06,4.785371
11:35:07,4.78761
11:35:08,4.92148161
11:35:09,4.86152649
11:35:10,4.737688
11:35:11,3.99995518
11:35:12,6.330183
11:35:13,6.654714
11:35:14,6.53316975
11:35:15,6.59183645
11:35:16,5.060759
11:35:17,4.73923159
11:35:18,4.9920826
11:35:19,4.83733463
11:35:20,4.925831
11:35:21,4.59405041
11:35:22,4.79430962
11:35:23,4.781225
11:35:24,4.644515
11:35:25,5.369596
11:35:26,5.547032
11:35:27,4.70206642
11:35:28,4.468011
11:35:29,4.829772
11:35:30,4.65699768
11:35:31,4.879525
11:35:32,4.904193
11:35:33,4.57814074
11:35:34,4.628509
11:35:35,5.08927441
11:35:36,4.00230646
11:35:37,4.53356171
11:35:38,4.28533125
11:35:39,4.713452
11:35:40,4.832153
11:35:41,4.54295444
11:35:42,4.60671234
11:35:43,4.402992
11:35:44,4.7990694
11:35:45,4.9075613
11:35:46,4.082067
11:35:47,4.23601437
11:35:48,4.80209351
11:35:49,4.976834
11:35:50,4.97406149
11:35:51,4.401891
11:35:52,4.628739
11:35:53,4.60654831
11:35:54,4.832883
11:35:55,4.98641872
11:35:56,4.84299
11:35:57,4.902611
11:35:58,4.908492
11:35:59,5.015401
11:36:00,4.80100965
11:36:01,4.65101767
11:36:02,4.646761
11:36:03,4.762662
11:36:04,4.948068
11:36:05,4.8787694
11:36:06,4.68314362
11:36:07,4.994347
11:36:08,4.935248
11:36:09,4.73880529
11:36:10,4.813875
11:36:11,4.906788
11:36:12,4.79786
11:36:13,5.009332
11:36:14,5.036275
11:36:15,4.95198345
11:36:16,4.09704733
11:36:17,4.44844866
